ジャンル,建築名,建築家,時代,場所,造り,特徴,解説,画像,,,,,,\
1_日本建築史,慈照寺観音殿(銀閣),---,室町時代,京都府京都市,観音殿、2層を楼閣建築,足利八代将軍の別荘、観音殿、二層の楼閣建築、屋根は杮葺の宝形造り、初層は書院造り風、上層は禅宗様仏堂風,"足利八代将車義政の別荘として建てられたもので,死後開山したのが慈照寺で,その中に銀閣や茶室として有名な東堂・同仁斎がある。銀閣は観音殿といわれ, 2 層の楼閣建築。屋根は柿葺の宝形造り。初層は書院造り風,上層は禅宗様仏堂風である。",https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_22.png,/main/images,/01_22.png,01,22,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_22.png/main/images/01_22.png,
1_日本建築史,慈照寺東求堂同仁斎,---,室町時代,京都府京都市,書院造,書院造、四畳半、付書院と違棚、いろりの間,東求堂は、持仏堂(仏間)と同仁斎と呼ばれる小室そのほかの 4 室からなり、北東の一室が同仁斎である。書院造の初期の遺構とされ、四畳半敷で、付書院と違棚を備え、「いろりの間」とも呼ばれている。建築全体の木割は細く、角柱面取、舟肘木、疎垂木の清楚な建物である。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_23.png,/main/images,/01_23.png,01,23,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_23.png/main/images/01_23.png,
1_日本建築史,東福寺竜吟庵方丈,---,室町時代,京都府京都市,方丈建築,東福寺の塔頭、蔀戸を吊り、両測面に板扉を設け古式の建具装置を備える、最古の方丈,"竜吟庵は東福寺の塔頭である。外観は正面では各室とも蔀戸を吊り、両測面に板扉を設け、側面にも扉を開くなど寝殿造りにも通じる構成は,はかの方丈に類例を見ない古式の建具装置を備える。室町時代前期の特徴をよく示すものであり、わが国現存最古の方丈として、方丈建築の源流をしのは・せる好個の建築である。",https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_24.png,/main/images,/01_24.png,01,24,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_24.png/main/images/01_24.png,
1_日本建築史,姫路城（天守）,---,桃山時代,兵庫県姫路市,城郭建築,白漆喰塗りの城壁・白鷺城,城郭建築の最盛期の遺構。平地の小丘を巧みに利用して構築された平山城。 5 重 6 階の大天守と 3 棟の小天守は渡櫓で繋がれて連立天守郭を構成する。外観の優美さが特徴で、白漆喰塗りの城壁の美しさから白鷺城の名でも知られる。天守のほかに本丸、二ノ丸、三ノ丸などに分かれており、櫓、渡櫓、櫓門、上塀を配置する。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_25.png,/main/images,/01_25.png,01,25,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_25.png/main/images/01_25.png,
1_日本建築史,ニ条城ニの丸御殿,---,桃山時代,京都府京都市,大広間・遠侍・大広間・白書院・黒書院,大広間・遠侍・大広間・白書院・黒書院の上段の間には押板床・違い棚・付書院を持つ,徳川家康の上洛時の居館として建造された建物で、大広間、遠侍、白書院、黒書院などからなる。大広間は最も豪華で、将軍と大名の対面所であり、将軍の座るー の間は押板床・違い棚・付書院・帳台構えの座敷飾りを備えた書院造りの代表例。室内は周囲を彩る障壁画や豪華な二重折上げ格天井、黄金色の飾金具などで飾られている。白書院は将軍の居間で、日常の居住にふさわしく、金具類も少なく、淡白な仕上げとなっている。また、黒書院はうちわの客との対面所(公式の謁見は大広間)で、上段の間には押板床・違い棚・付書院をもち、内部は金碧の障壁画や豪華な飾金具で飾られている。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_26.png,/main/images,/01_26.png,01,26,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_26.png/main/images/01_26.png,
1_日本建築史,園城寺光浄院客殿,---,桃山時代,滋賀県大津市,書院造り,書院造り、上段の間には押板床・違い棚・帳台構え、その上に付書院、押板床がある。木割書「匠明」、桃山時代の標準的な武家の住宅の形式,"光浄院は園城寺の子院の一つで,その客殿は書院造りの形式を伝えている。各室には畳を敷きつめ,上座の間は押板床・違い棚・帳台構えを設け、その上段には付書院・押板床がある。光浄院客殿の平面を木割書「匠明」の「殿屋集」に描かれている「主殿の図」とほぼ同しであり,桃山時代の標準的な武家の住宅の形式を示すものと考えられている。",https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_27.png,/main/images,/01_27.png,01,27,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_27.png/main/images/01_27.png,
1_日本建築史,本願寺白書院,---,桃山時代,京都府京都市,書院造り,南側の対面所と北側の白書院。豪華豊麗な意匠とともに最も大規模な書院造の遺構,書院は南側の対面所と北側の白書院からなり、床・棚・書院・帳台構え・上段の間などを備える。桃山時代に大成された大広間の形式をよく表しており、障壁画、欄間彫刻など、豪華豊麗な意匠などとともに最も大規模な書院造の一つの遺構ということができる。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_28.png,/main/images,/01_28.png,01,28,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_28.png/main/images/01_28.png,
1_日本建築史,本願寺飛雲閣,---,桃山時代,京都府京都市,楼閣建築,寺内の園池に面して建つ 3 層の楼閣建築外観、内部ともに住宅風に造られており、屋根や窓など各部に軽快で奇抜な意匠が施された庭園建築,寺内の園池に面して建つ 3 層の楼閣建築外観、内部ともに住宅風に造られており、屋根や窓など各部に軽快で奇抜な意匠が施された庭園建築の好典型である。いる。 1 階は柳の間、八景の間、船人の間、茶座などからなり、 2 階は歌仙の間といい、周囲に縁をめぐらし、 3 階(摘星楼)は周囲に花頭窓を開く。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_29.png,/main/images,/01_29.png,01,29,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_29.png/main/images/01_29.png,
1_日本建築史,妙喜庵待庵,千利休,桃山時代,京都府大山崎町,草庵茶室, 2 畳隅炉の茶室で、その脇に襖をへだてて次の間 1 畳。草庵茶室。室床。,東福寺派の寺である妙喜庵の書院に隣接した 2 畳隅炉の茶室で、その脇に襖をへだてて次の間 1 畳がある。千利休の作と伝えられており、 16 世紀末に造立された草庵茶室である。にしり口から見て正面に設けられた床は、人の柱や天井の廻縁を上で塗りまわして隠した室床としている。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_30.png,/main/images,/01_30.png,01,30,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_30.png/main/images/01_30.png,
1_日本建築史,孤篷庵忘筌,小堀遠州,桃山時代,京都府京都市,なし,12 畳の書院茶室で、小堀遠州の作。不規則な形をした広間、中段に中敷居をわたしている,大徳寺の塔頭である孤篷庵の客殿に隣接した 12 畳の書院茶室で、小堀遠州の作とされている。不規則な形をした広間であり、西側に設けられた縁先の開口部の中段に中敷居をわたし、上に障子を人れ、下を開口としている。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_31.png,/main/images,/01_31.png,01,31,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_31.png/main/images/01_31.png,
